algorithm,cores,iterations,size,latency,min,max
0,14,1000,1024.0,5.91,2.34,9.34
0,14,1000,2048.0,6.65,2.31,9.96
0,14,1000,4096.0,9.95,1.34,15.49
0,14,1000,8192.0,13.85,2.04,20.81
0,14,1000,16384.0,23.71,10.17,32.15
0,14,1000,32768.0,17.77,8.62,25.68
0,14,1000,65536.0,31.27,10.3,47.0
0,14,1000,131072.0,67.75,16.34,105.52
0,14,1000,262144.0,142.4,29.05,207.0
0,14,1000,524288.0,298.47,62.78,443.84
0,14,1000,1048576.0,831.49,605.12,1035.71
2,14,1000,1.0,3.77,0.75,7.95
2,14,1000,2.0,3.68,0.8,7.59
2,14,1000,4.0,3.75,0.91,7.58
2,14,1000,8.0,3.78,1.01,7.31
2,14,1000,16.0,3.86,1.02,7.38
2,14,1000,32.0,4.01,1.04,7.73
2,14,1000,64.0,4.77,1.17,9.08
2,14,1000,128.0,4.12,1.07,8.17
2,14,1000,256.0,5.75,1.53,10.2
2,14,1000,512.0,6.18,1.67,11.05
2,14,1000,1024.0,7.27,1.98,13.16
2,14,1000,2048.0,6.54,1.61,13.93
2,14,1000,4096.0,8.18,2.2,16.97
2,14,1000,8192.0,10.08,3.37,18.47
2,14,1000,16384.0,12.85,5.04,24.79
2,14,1000,32768.0,19.99,7.63,33.95
2,14,1000,65536.0,30.81,14.04,47.51
2,14,1000,131072.0,58.77,24.85,90.01
2,14,1000,262144.0,107.95,44.76,160.81
2,14,1000,524288.0,228.41,87.12,310.84
2,14,1000,1048576.0,991.84,364.85,1194.85
2,46,1000,1.0,11.11,0.92,22.82
2,46,1000,2.0,10.93,1.06,22.13
2,46,1000,4.0,10.87,1.0,22.04
2,46,1000,8.0,10.86,1.04,21.91
2,46,1000,16.0,10.8,1.05,21.62
2,46,1000,32.0,11.43,1.18,22.76
2,46,1000,64.0,13.68,1.21,27.09
2,46,1000,128.0,13.74,1.34,27.55
2,46,1000,256.0,17.76,1.78,35.03
2,46,1000,512.0,19.37,1.89,37.94
2,46,1000,1024.0,22.61,2.37,43.55
2,46,1000,2048.0,21.47,2.06,43.63
2,46,1000,4096.0,25.72,2.56,52.07
2,46,1000,8192.0,32.29,3.66,62.7
2,46,1000,16384.0,38.08,5.57,73.67
2,46,1000,32768.0,53.66,8.27,98.13
2,46,1000,65536.0,79.3,13.97,143.19
2,46,1000,131072.0,143.59,23.23,261.33
2,46,1000,262144.0,400.23,82.16,624.38
2,46,1000,524288.0,837.6,161.7,1342.67
2,46,1000,1048576.0,1992.05,316.82,3198.13
0,162,1000,1.0,9.57,1.33,18.5
0,162,1000,2.0,12.84,0.56,22.28
0,162,1000,4.0,12.62,0.57,21.8
0,162,1000,8.0,13.08,0.57,23.44
0,162,1000,16.0,13.14,0.56,23.89
0,162,1000,32.0,12.95,0.57,23.06
0,162,1000,64.0,13.4,0.56,22.75
0,162,1000,128.0,14.38,0.6,23.41
0,162,1000,256.0,15.0,1.04,24.9
