algorithm,cores,iterations,size,latency,min,max
2,42,1000,32.0,3.08,0.55,5.3
2,42,1000,64.0,3.36,0.57,5.93
2,42,1000,128.0,4.73,0.68,8.23
2,42,1000,256.0,4.78,0.67,7.82
2,42,1000,512.0,4.26,0.73,6.91
2,42,1000,1024.0,4.51,0.64,7.34
2,42,1000,2048.0,5.79,0.68,9.5
2,42,1000,4096.0,7.41,0.85,12.22
2,42,1000,8192.0,11.97,1.39,21.44
2,42,1000,16384.0,30.22,7.72,47.05
2,42,1000,32768.0,45.43,11.77,68.35
2,42,1000,65536.0,79.66,24.2,117.91
2,42,1000,131072.0,150.79,54.67,217.23
2,42,1000,262144.0,312.7,115.9,453.94
2,42,1000,524288.0,687.75,275.86,1000.01
2,42,1000,1048576.0,1301.44,503.29,1927.06
2,150,1000,1.0,10.29,1.15,20.86
2,150,1000,2.0,12.8,1.19,24.25
2,150,1000,4.0,14.0,1.06,29.74
2,150,1000,8.0,11.06,0.83,22.12
2,150,1000,16.0,10.81,0.86,22.15
2,150,1000,32.0,12.7,0.79,24.73
2,150,1000,64.0,13.51,0.91,25.96
2,150,1000,128.0,12.12,1.26,23.49
2,150,1000,256.0,11.88,1.05,22.82
2,150,1000,512.0,12.55,1.23,24.41
2,150,1000,1024.0,14.18,1.56,26.42
2,150,1000,2048.0,18.37,1.59,34.92
2,150,1000,4096.0,21.72,1.68,41.68
2,150,1000,8192.0,31.5,2.18,60.65
2,150,1000,16384.0,98.84,11.72,181.38
2,150,1000,32768.0,146.2,18.98,266.98
2,150,1000,65536.0,251.2,40.01,450.75
2,150,1000,131072.0,472.07,97.33,825.93
2,150,1000,262144.0,928.64,201.47,1619.44
2,150,1000,524288.0,1840.11,398.49,3219.7
2,150,1000,1048576.0,3618.78,719.18,6343.13
0,242,1000,1.0,6.67,0.5,21.36
0,242,1000,2.0,9.7,0.62,24.1
0,242,1000,4.0,9.84,0.62,23.91
0,242,1000,8.0,11.17,0.63,28.32
0,242,1000,16.0,10.45,0.66,26.06
0,242,1000,32.0,11.14,0.68,27.12
0,242,1000,64.0,10.96,0.7,27.71
0,242,1000,128.0,11.9,0.85,28.15
0,242,1000,256.0,13.89,0.78,33.47
0,242,1000,512.0,14.61,0.83,34.98
0,242,1000,1024.0,15.84,0.86,38.48
0,242,1000,2048.0,20.57,0.94,48.91
0,242,1000,4096.0,32.62,1.04,69.49
0,242,1000,8192.0,51.66,1.25,103.03
0,242,1000,16384.0,126.33,5.56,243.43
0,242,1000,32768.0,260.88,15.51,400.98
0,242,1000,65536.0,102.17,57.89,137.88
0,242,1000,131072.0,209.94,120.4,308.2
0,242,1000,262144.0,446.05,260.56,656.88
0,242,1000,524288.0,957.38,538.55,1433.63
0,242,1000,1048576.0,1677.86,852.55,2608.9
0,106,1000,1.0,2.56,1.77,3.76
0,106,1000,2.0,2.63,1.71,3.91
0,106,1000,4.0,2.68,1.77,3.76
0,106,1000,8.0,2.67,1.7,3.99
0,106,1000,16.0,2.68,1.8,3.77
0,106,1000,32.0,2.84,1.96,4.08
0,106,1000,64.0,2.95,2.13,4.13
0,106,1000,128.0,4.81,3.33,6.43
0,106,1000,256.0,4.81,3.11,6.45
0,106,1000,512.0,4.76,3.51,6.22
0,106,1000,1024.0,5.33,3.77,7.03
0,106,1000,2048.0,7.62,5.28,10.0
0,106,1000,4096.0,9.76,6.8,12.89
0,106,1000,8192.0,15.34,10.76,20.03
0,106,1000,16384.0,26.48,21.34,32.41
0,106,1000,32768.0,48.57,35.78,61.67
0,106,1000,65536.0,103.32,65.55,139.76
0,106,1000,131072.0,218.09,129.56,296.79
